distance,radeg,raerr,decl,decerr,RHJD,Airmass,Vphot,BVphot,UBphot,VRphot,RIphot,VIphot,Usat,Bsat,Vsat,Rsat,Isat,V,eV,B-V,eB-V,U-B,eU-B,V-R,eV-R,R-I,eR-I,V-I,eV-I,Vzero,BVzero,UBzero,VRzero,RIzero,VIzero,fieldID,source
1.8,47.0415905,0,40.955892,0,55893.9283,1.658,0,0,0,0,0,0,0,0,0,0,0,2.12,0.001,-0.028,0.001,99.999,9.999,-0.042,0.001,0.01,0.001,-0.044,0.001,-0.002,-0.027,0,0.01,-0.002,0.012, 0007800063,28
2.6,47.042983,0,40.956115,0,55894.7588,1.015,0,0,0,0,0,0,0,0,0,0,0,2.157,0.001,-0.025,0.001,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,0.178,0.017,0,0,0,0, 0000100044,28
0.7,47.042234,0,40.955447,0,55894.8421,1.161,0,0,0,0,0,0,0,0,0,0,0,2.22,0.001,-0.102,0.001,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-0.009,-0.014,0,0,0,0, 0000100044,28
1.8,47.041942,0,40.955206,0,55894.8433,1.164,0,0,0,0,0,0,0,0,0,0,0,2.23,0.001,-0.146,0.001,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,0.029,-0.043,0,0,0,0, 0000200007,28
0.8,47.04231,0,40.955429,0,55894.9262,1.664,0,0,0,0,0,0,0,0,0,0,0,2.346,0.001,-0.035,0.001,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,0.063,-0.142,0,0,0,0, 0000100044,28
1.2,47.042482,0,40.955956,0,55895.537,1.828,0,0,0,0,0,0,0,0,0,0,0,2.117,0.001,-0.044,0.001,99.999,9.999,0.04,0.001,0.045,0.001,0.086,0.001,-0.004,-0.034,0,0.003,0.013,0.009, 0000100044,28
3.1,47.042979,0,40.9563083,0,55895.6139,1.235,0,0,0,0,0,0,0,0,0,0,0,2.123,0.001,0.061,0.001,99.999,9.999,0.013,0.001,0.069,0.001,0.005,0.001,-0.046,-0.061,0,-0.07,0.011,0.012, 0000200009,28
3,47.0430222,0,40.9562355,0,55895.6945,1.033,0,0,0,0,0,0,0,0,0,0,0,2.07,0.001,0.059,0.001,99.999,9.999,-0.003,0.001,0.039,0.001,0.014,0.001,-0.013,-0.019,0,-0.012,-0.009,-0.006, 0007900036,28
0.8,47.0424657,0,40.9557813,0,55895.7575,1.016,0,0,0,0,0,0,0,0,0,0,0,2.072,0.001,0.05,0.001,99.999,9.999,-0.083,0.001,0.072,0.001,-0.005,0.001,-0.022,0.004,0,-0.013,-0.011,-0.036, 0007900010,28
1.6,47.0428213,0,40.9557235,0,55895.839,1.162,0,0,0,0,0,0,0,0,0,0,0,2.158,0.001,0.033,0.001,99.999,9.999,99.999,9.999,99.999,9.999,0.012,0.001,0.002,-0.048,0,0.008,0.044,0.016, 0000200007,28
1.6,47.0428213,0,40.9557235,0,55895.839,1.161,0,0,0,0,0,0,0,0,0,0,0,2.109,0.001,0.083,0.001,99.999,9.999,-0.071,0.001,0.005,0.001,-0.036,0.001,0.002,-0.048,0,0.008,0.044,0.016, 0000200007,28
3.6,47.0433998,0,40.9561248,0,55895.9228,1.66,0,0,0,0,0,0,0,0,0,0,0,2.088,0.001,0.073,0.001,99.999,9.999,-0.043,0.001,0.058,0.001,-0.021,0.001,0.013,-0.102,0,-0.001,-0.004,0.025, 0007800069,28
3.9,47.0432712,0,40.9564142,0,55896.5349,1.801,0,0,0,0,0,0,0,0,0,0,0,2.077,0.001,0.026,0.001,99.999,9.999,-0.037,0.001,-0.064,0.001,-0.095,0.001,-0.077,-0.047,0,0,0.008,-0.008, 0000100036,28
3.4,47.043071,0,40.956373,0,55896.6099,1.24,0,0,0,0,0,0,0,0,0,0,0,2.113,0.001,-0.003,0.001,99.999,9.999,0.018,0.001,-0.003,0.001,0.011,0.001,-0.062,-0.01,0,0,-0.004,-0.009, 0000200009,28
3.2,47.0432503,0,40.9560857,0,55896.6939,1.03,0,0,0,0,0,0,0,0,0,0,0,2.042,0.002,0.091,0.003,99.999,9.999,0.067,0.003,99.999,9.999,99.999,9.999,0.762,-0.273,0,0.14,0.027,0.201, 0007900001,28
1,47.042581,0,40.9556202,0,55896.7547,1.016,0,0,0,0,0,0,0,1,0,0,0,2.107,0.001,0.061,0.001,99.999,9.999,-0.013,0.002,0.009,0.002,0.037,0.001,0.065,-0.035,0,-0.1,0.111,-0.039, 0000100044,28
1.7,47.0417755,0,40.9553245,0,55896.8371,1.16,0,0,0,0,0,0,0,0,0,0,0,2.189,0.001,-0.069,0.002,99.999,9.999,0.04,0.001,0.073,0.001,0.107,0.001,0.274,-0.089,0,0.097,0.019,0.116, 0000200007,28
3.2,47.0431975,0,40.9561558,0,55896.8371,1.162,0,0,0,0,0,0,0,0,0,0,0,2.04,0.001,0.019,0.001,99.999,9.999,-0.001,0.001,-0.086,0.001,-0.094,0.001,0.274,-0.089,0,0.097,0.019,0.116, 0000200007,28
2.9,47.0430178,0,40.956199,0,55896.92,1.656,0,0,0,0,0,0,0,0,0,0,0,2.147,0.001,-0.063,0.001,99.999,9.999,0.064,0.001,0.034,0.001,0.053,0.001,-0.065,-0.024,0,-0.04,-0.028,-0.032, 0007800069,28
3.6,47.0432023,0,40.9563482,0,55905.5833,1.246,0,0,0,0,0,0,0,0,0,0,0,2.061,0.001,0.018,0.001,99.999,9.999,0,0.001,0.032,0.001,0.016,0.001,-0.034,-0.013,0,0.002,-0.015,-0.006, 0000200009,28
0.9,47.042416,0,40.9558678,0,55905.7286,1.015,0,0,0,0,0,0,0,0,0,0,0,2.144,0.001,-0.034,0.001,99.999,9.999,0.013,0.001,0.034,0.001,0.008,0.001,-0.006,-0.02,0,-0.018,0.021,0.033, 0007800015,28
2.2,47.041666,0,40.955197,0,55905.8099,1.16,0,0,0,0,0,0,0,0,0,0,0,2.201,0.001,-0.131,0.001,99.999,9.999,0.033,0.001,-0.049,0.001,-0.009,0.001,0.009,-0.051,0,-0.004,0.021,0.002, 0000100044,28
3.1,47.043104,0,40.956212,0,55905.8122,1.162,0,0,0,0,0,0,0,0,0,0,0,2.195,0.001,-0.124,0.001,99.999,9.999,0.088,0.001,-0.065,0.001,0.03,0.001,0.009,-0.051,0,-0.004,0.021,0.002, 0000100044,28
0.7,47.0424905,0,40.955674,0,55905.8931,1.655,0,0,0,0,0,0,0,0,0,0,0,2.201,0.001,-0.006,0.002,99.999,9.999,0.118,0.001,-0.126,0.001,-0.018,0.001,0.067,-0.084,0,-0.014,0.043,0.032, 0007800063,28
2.7,47.0430443,0,40.9560937,0,55910.7187,1.016,0,0,0,0,0,0,0,0,0,0,0,0.816,0.004,1.39,0.005,99.999,9.999,-0.59,0.005,0.214,0.005,-0.777,0.006,3.438,-2.198,0,0.673,-0.357,0.698, 0007800039,28
1.7,47.0428637,0,40.9557353,0,55929.6614,1.015,0,0,0,0,0,0,0,0,0,0,0,2.297,0.001,-0.03,0.001,99.999,9.999,-0.05,0.001,0.03,0.001,-0.052,0.001,-0.027,0.009,0,0.039,0.006,0.069, 0007900001,28
2.8,47.043062,0,40.9561422,0,55929.7446,1.161,0,0,0,0,0,0,0,0,0,0,0,2.179,0.001,0.018,0.001,99.999,9.999,-0.034,0.001,0.026,0.001,0.02,0.001,0.002,-0.063,0,0.018,0.033,0.014, 0000200007,28
2.8,47.043062,0,40.9561422,0,55929.7446,1.162,0,0,0,0,0,0,0,0,0,0,0,2.184,0.001,-0.004,0.001,99.999,9.999,-0.041,0.001,0.038,0.001,0.025,0.001,0.002,-0.063,0,0.018,0.033,0.014, 0000200007,28
1.3,47.0425205,0,40.9559508,0,55929.8287,1.671,0,0,0,0,0,0,0,0,0,0,0,2.184,0.001,-0.023,0.002,99.999,9.999,-0.008,0.001,0.021,0.001,0.004,0.001,0.047,-0.07,0,0.01,0.008,0.018, 0007800063,28
3.6,47.0433103,0,40.9562578,0,55929.8287,1.674,0,0,0,0,0,0,0,0,0,0,0,2.219,0.001,-0.041,0.002,99.999,9.999,0.027,0.001,99.999,9.999,99.999,9.999,0.047,-0.07,0,0.01,0.008,0.018, 0007800063,28
0.3,47.0423088,0,40.9556145,0,55930.6605,1.016,0,0,0,0,0,0,0,0,0,0,0,2.064,0.002,0.122,0.002,99.999,9.999,-0.051,0.002,0.033,0.003,-0.053,0.002,0.621,-0.044,0,0.057,0.087,0.17, 0007800039,28
2.8,47.0430196,0,40.9561476,0,55930.7421,1.163,0,0,0,0,0,0,0,0,0,0,0,2.101,0.001,-0.007,0.001,99.999,9.999,-0.017,0.001,0.024,0.001,-0.015,0.001,0.008,-0.027,0,0.001,0.012,0.025, 0000200007,28
3.2,47.0429473,0,40.9563638,0,55931.5954,1.031,0,0,0,0,0,0,0,0,0,0,0,2.063,0.001,0.012,0.001,99.999,9.999,0.008,0.001,0.024,0.001,0.016,0.001,-0.007,0.002,0,-0.004,0.038,0.037, 0000200009,28
